row_index,clip_id,group_idx,clip_name,target,prediction_constrained_yes_no,constrained_correct,unrestricted_token_id,yes_logit,no_logit,prompt_token_length
121,bBW7eQ6s,2,NIM_2,no,no,True,902,0.29187828302383423,4.067575931549072,
122,W0KvTtjG,1,NIM_6,no,no,True,2432,-0.22145821154117584,1.6442351341247559,
123,OtQpc975,2,NIM_1,no,yes,False,1124,-2.5328471660614014,-3.184781074523926,
124,r9gYBR53,2,NIM_9,no,no,True,1495,-3.7907068729400635,1.6902923583984375,
125,G6wyC3XE,1,NIM_1,no,yes,False,30430,0.02739647962152958,-3.4035120010375977,
126,Q3ZH0ngC,1,NIM_4,no,no,True,4935,0.13666729629039764,2.4118990898132324,
127,06FNvY2s,2,NIM_2,no,no,True,2160,0.2195420116186142,5.480027198791504,
128,8S0QVm38,1,NIM_3,no,no,True,481,-2.058723211288452,0.9523009061813354,
129,nwl9maEG,1,NIM_4,no,yes,False,74398,0.4313507080078125,-0.04593198373913765,
130,viZQQvS2,1,NIM_9,no,yes,False,4935,2.517695188522339,-0.47427666187286377,
131,IcCSkl6F,1,NIM_1,no,yes,False,1260,-3.402376890182495,-3.588334798812866,
132,8S0QVm38,2,NIM_5,no,yes,False,2160,-1.3201109170913696,-1.8172931671142578,
133,63fde7Re,2,NIM_2,no,no,True,1212,-2.736499309539795,0.487106055021286,
134,ChTFpiaS,1,NIM_2,no,yes,False,2160,-0.29429614543914795,-0.32393577694892883,
135,x2i73QnS,1,NIM_2,no,no,True,279,-2.3633148670196533,-1.0340383052825928,
136,ObsVrY4o,2,NIM_2,no,no,True,2432,-2.360668897628784,0.4252904951572418,
137,MV4UU7IE,2,NIM_5,no,yes,False,32976,-3.3571152687072754,-4.3566789627075195,
138,W0KvTtjG,1,NIM_3,no,yes,False,4935,1.078071117401123,0.42742836475372314,
139,xpER1kZQ,1,NIM_5,no,no,True,1124,-6.650475025177002,1.5224409103393555,
140,reYzH7wg,2,NIM_5,no,no,True,3405,-3.9010703563690186,0.97258061170578,
141,OziK3ff0,1,NIM_11,no,no,True,3745,-0.8006815910339355,1.6902258396148682,
142,bevos1dM,1,NIM_6,no,no,True,1667,-3.5660083293914795,-2.571493148803711,
143,63fde7Re,1,NIM_3,no,no,True,2432,-1.8704824447631836,2.7291877269744873,
144,rs1thcel,2,NIM_7,no,no,True,77959,-0.9019214510917664,5.7498321533203125,
145,EPk1kLq4,1,NIM_5,no,yes,False,358,-0.7457998991012573,-1.0375583171844482,
